question,answer
"What do you think people you work with just don’t get about the data visualization work that you do?
",The data upstream needs to be clean before visualization can be effextove
"What do you think people you work with just don’t get about the data visualization work that you do?
",How long it may take
"What do you think people you work with just don’t get about the data visualization work that you do?
","They might get but they normally sent their prefer chart to us. I feel like they did not respect on out expertise. I feel like I was hire to copy their work from excel to the new tool. More and more of facing this, it makes the creativity and passion of build good work become lesser and lesser"
"What do you think people you work with just don’t get about the data visualization work that you do?
","The need for and time it takes to maintain,clean, and prepare data prior to visualization."
"What do you think people you work with just don’t get about the data visualization work that you do?
",That different media require different approaches
"What do you think people you work with just don’t get about the data visualization work that you do?
",Don't see the value vs. time spent working on viz
"What do you think people you work with just don’t get about the data visualization work that you do?
",time and understanding the best viz to use
"What do you think people you work with just don’t get about the data visualization work that you do?
",My comments relate to past professional experience having working in a large multi national company where management do not value data analysis and data viz hence being difficult to steer progress
"What do you think people you work with just don’t get about the data visualization work that you do?
","The amount of time it takes to create something worthwhile and actionable, as well as how to ask questions that are strategic to help us get to an end product that is useful."
"What do you think people you work with just don’t get about the data visualization work that you do?
",It’s seen as a blue collar profession and takes work to get “buy in” like other more established departments and roles. Often seen as a job the team can “figure out” without hiring an expert.
"What do you think people you work with just don’t get about the data visualization work that you do?
",You can't assume anything is trivial.
"What do you think people you work with just don’t get about the data visualization work that you do?
",understanding how to use and understand data visualization
"What do you think people you work with just don’t get about the data visualization work that you do?
",Time and Data Volume
"What do you think people you work with just don’t get about the data visualization work that you do?
",effort needed
"What do you think people you work with just don’t get about the data visualization work that you do?
","Nothing, we're all in!"
"What do you think people you work with just don’t get about the data visualization work that you do?
","They're clinging to old techniques, focus on aesthetics over accuracy and accessibility"
"What do you think people you work with just don’t get about the data visualization work that you do?
",How much underlying preparation is needed to clean data
"What do you think people you work with just don’t get about the data visualization work that you do?
",why it is important and how it can lead to overall better understanding of the business
"What do you think people you work with just don’t get about the data visualization work that you do?
",They can't personalize visualizations because of BI tools limitations
"What do you think people you work with just don’t get about the data visualization work that you do?
","Probably, I have a higher interest in data and systematic data collection, as I made this, part of my job responsibilities. Other people I work with, are not that interested in data itself yet, because they have been working without good data for a long time. But we are getting there."
"What do you think people you work with just don’t get about the data visualization work that you do?
","the need, the efforts behind it"
"What do you think people you work with just don’t get about the data visualization work that you do?
",The story-telling aspect and importance of accessibility
"What do you think people you work with just don’t get about the data visualization work that you do?
",Data viz is a communication tool! Not just a pretty picture to break up text or to make something look more impressive.
"What do you think people you work with just don’t get about the data visualization work that you do?
",That data visualization is not the final stap
"What do you think people you work with just don’t get about the data visualization work that you do?
",Technical limitations of tools.
"What do you think people you work with just don’t get about the data visualization work that you do?
",Basic data literacy
"What do you think people you work with just don’t get about the data visualization work that you do?
",They don't understand the value of what they aren't comfortable with because text tables and spreadsheets is all they've known.
"What do you think people you work with just don’t get about the data visualization work that you do?
","The amount of time it takes to work with data on the front end in order to understand/clean/aggregate it properly in order to get to the stage of iterating valuable visualizations, as well as the time it takes to then format the visualizations in a proper/creative way that works best for the audience."
"What do you think people you work with just don’t get about the data visualization work that you do?
","How much more effective our reporting can be, and the time we can save after automation/templates are in place."
"What do you think people you work with just don’t get about the data visualization work that you do?
",Dataviz is undervalued.
"What do you think people you work with just don’t get about the data visualization work that you do?
",I think they're so stuck in their ways with Excel tables that they're not comfortable moving out with that safety. They don't understand how to interpret data in this way.
